env,algorithm,raw_algorithm,seed,source_group,run_id,status,start_time,latest_step,tb_name,run_dir,sacred_root,test_battle_won_mean_last,test_battle_won_mean_best,test_return_mean_last,test_return_mean_best,test_win_group_mean_last,test_win_group_mean_best,test_match_mean_last,test_match_mean_best,test_ep_length_mean_last,test_ep_length_mean_best,battle_won_mean_last,battle_won_mean_best,return_mean_last,return_mean_best
disperse,diva_v1,diva_bounded_sigmoid_qmix_DIVA,3,diva_v1,20,RUNNING,2026-04-21T22:12:29.883813,1000320,diva_v1-seed3,results_DIVA softplus/sacred/20,results_DIVA softplus/sacred,0.0,0.0033333333333333335,-2.246388888888889,-2.2108333333333334,,,32.25333333333333,34.77,10.0,10.0,0.0,0.0,-2.384583333333333,-2.3575
disperse,diva_v1,diva_bounded_sigmoid_qmix_DIVA,4,diva_v1,19,RUNNING,2026-04-21T22:12:29.847798,1000320,diva_v1-seed4,results_DIVA softplus/sacred/19,results_DIVA softplus/sacred,0.0,0.0033333333333333335,-2.4966666666666666,-2.362222222222222,,,32.74,34.82666666666667,10.0,10.0,0.0,0.0,-2.5094166666666666,-2.4856666666666665
disperse,diva_v1,diva_bounded_sigmoid_qmix_DIVA,7,diva_v1,23,RUNNING,2026-04-21T22:12:30.578508,1000320,diva_v1-seed7,results_DIVA softplus/sacred/23,results_DIVA softplus/sacred,0.0,0.0033333333333333335,-2.2708333333333335,-2.2577777777777777,,,32.32333333333333,34.763333333333335,10.0,10.0,0.0,0.001,-2.3785,-2.3785
disperse,diva_v1,diva_bounded_sigmoid_qmix_DIVA,8,diva_v1,24,RUNNING,2026-04-21T22:12:30.665181,1000320,diva_v1-seed8,results_DIVA softplus/sacred/24,results_DIVA softplus/sacred,0.0,0.0033333333333333335,-2.2261111111111114,-2.1927777777777777,,,32.333333333333336,34.913333333333334,10.0,10.0,0.0,0.0,-2.393666666666667,-2.361083333333333
disperse,diva_v2,diva_bounded_sigmoid_qmix_DIVA_scale1_capacity64_gate2,1,diva_v2,15,RUNNING,2026-05-01T21:00:19.398590,1000320,diva_v2-seed1,results diva changed (2)/sacred/15,results diva changed (2)/sacred,0.0,0.0,-2.258888888888889,-2.2302777777777774,,,32.36333333333334,33.843333333333334,10.0,10.0,0.0,0.0,-2.435666666666667,-2.365416666666667
disperse,diva_v2,diva_bounded_sigmoid_qmix_DIVA_scale1_capacity64_gate2,3,diva_v2,17,RUNNING,2026-05-02T06:42:42.824890,1000320,diva_v2-seed3,results diva changed (2)/sacred/17,results diva changed (2)/sacred,0.0,0.0033333333333333335,-2.280277777777778,-2.2394444444444446,,,32.17666666666667,33.833333333333336,10.0,10.0,0.0,0.0,-2.408166666666667,-2.377
disperse,diva_v2,diva_bounded_sigmoid_qmix_DIVA_scale1_capacity64_gate2,6,diva_v2,13,RUNNING,2026-05-01T20:59:20.870689,1000320,diva_v2-seed6,results diva changed (2)/sacred/13,results diva changed (2)/sacred,0.0,0.0,-2.331111111111111,-2.2069444444444444,,,32.21333333333333,33.85333333333333,10.0,10.0,0.0,0.0,-2.39475,-2.3526666666666665
disperse,diva_v2,diva_bounded_sigmoid_qmix_DIVA_scale1_capacity64_gate2,8,diva_v2,16,RUNNING,2026-05-01T21:05:11.920097,1000320,diva_v2-seed8,results diva changed (2)/sacred/16,results diva changed (2)/sacred,0.0,0.0,-2.2469444444444444,-2.2291666666666665,,,32.336666666666666,33.696666666666665,10.0,10.0,0.0,0.0,-2.399,-2.36475
disperse,qmix,qmix,3,baseline_old,5,RUNNING,2026-04-30T06:16:30.092246,1000320,qmix-seed3,results_basleines/sacred/5,results_basleines/sacred,0.0,0.0033333333333333335,-2.4972222222222222,-2.400555555555556,,,32.74666666666667,34.49666666666667,10.0,10.0,0.0,0.0,-2.5733333333333333,-2.5364166666666663
disperse,qmix,qmix,8,baseline_old,1,RUNNING,2026-04-30T06:16:29.844309,1000320,qmix-seed8,results_basleines/sacred/1,results_basleines/sacred,0.0,0.0033333333333333335,-2.4875,-2.4158333333333335,,,32.67666666666667,34.156666666666666,10.0,10.0,0.0,0.0,-2.55325,-2.526666666666667
disperse,qtran,qtran,3,baseline_old,19,RUNNING,2026-04-30T23:44:36.315802,1000320,qtran-seed3,results_basleines/sacred/19,results_basleines/sacred,0.0,0.0,-2.271388888888889,-2.225,,,32.373333333333335,33.98,10.0,10.0,0.0,0.0,-2.4443333333333337,-2.398666666666667
disperse,qtran,qtran,8,baseline_old,24,RUNNING,2026-04-30T23:44:36.474055,1000320,qtran-seed8,results_basleines/sacred/24,results_basleines/sacred,0.0,0.0,-2.331388888888889,-2.220833333333333,,,32.42,33.92666666666667,10.0,10.0,0.0,0.0,-2.4658333333333333,-2.4140833333333336
disperse,vdn,vdn,3,baseline_old,2,RUNNING,2026-04-30T06:16:29.994097,1000320,vdn-seed3,results_basleines/sacred/2,results_basleines/sacred,0.0,0.0,-2.534444444444444,-2.4505555555555554,,,32.8,33.723333333333336,10.0,10.0,0.0,0.0,-2.5971666666666664,-2.5473333333333334
disperse,vdn,vdn,8,baseline_old,6,RUNNING,2026-04-30T06:16:30.098766,1000320,vdn-seed8,results_basleines/sacred/6,results_basleines/sacred,0.0,0.0033333333333333335,-2.5327777777777776,-2.4225,,,32.843333333333334,33.843333333333334,10.0,10.0,0.0,0.0,-2.63975,-2.5450833333333334
