env,algorithm,raw_algorithm,seed,source_group,run_id,status,start_time,latest_step,tb_name,run_dir,sacred_root,test_battle_won_mean_last,test_battle_won_mean_best,test_return_mean_last,test_return_mean_best,test_win_group_mean_last,test_win_group_mean_best,test_match_mean_last,test_match_mean_best,test_ep_length_mean_last,test_ep_length_mean_best,battle_won_mean_last,battle_won_mean_best,return_mean_last,return_mean_best
gather,diva_v1,diva_bounded_sigmoid_qmix_DIVA,4,diva_v1,3,RUNNING,2026-04-20T23:03:21.945919,1000530,diva_v1-seed4,results_DIVA softplus/sacred/3,results_DIVA softplus/sacred,0.22333333333333333,0.2733333333333333,6.116666666666666,6.366666666666666,,,,,7.713333333333333,8.0,0.20187793427230047,0.22588055130168452,5.172143974960877,5.48215641609719
gather,diva_v1,diva_bounded_sigmoid_qmix_DIVA,5,diva_v1,7,RUNNING,2026-04-20T23:03:22.660886,1000511,diva_v1-seed5,results_DIVA softplus/sacred/7,results_DIVA softplus/sacred,0.19666666666666666,0.27666666666666667,5.983333333333333,6.383333333333334,,,,,7.783333333333333,8.0,0.20046801872074882,0.22154779969650987,5.15990639625585,5.481790591805766
gather,diva_v1,diva_bounded_sigmoid_qmix_DIVA,7,diva_v1,6,RUNNING,2026-04-20T23:03:22.627898,1000507,diva_v1-seed7,results_DIVA softplus/sacred/6,results_DIVA softplus/sacred,0.19,0.28,5.95,6.4,,,,,7.6033333333333335,8.0,0.19440124416796267,0.22324159021406728,5.128304821150856,5.489296636085627
gather,diva_v1,diva_bounded_sigmoid_qmix_DIVA,8,diva_v1,8,RUNNING,2026-04-20T23:03:22.770421,1000523,diva_v1-seed8,results_DIVA softplus/sacred/8,results_DIVA softplus/sacred,0.20666666666666667,0.2733333333333333,6.033333333333333,6.35,,,,,7.733333333333333,8.0,0.20374707259953162,0.23533834586466165,5.300546448087432,5.530075187969925
gather,diva_v2,diva_bounded_sigmoid_qmix_DIVA_scale1_capacity64_gate2,3,diva_v2,11,RUNNING,2026-05-01T20:28:07.605994,1000519,diva_v2-seed3,results diva changed (2)/sacred/11,results diva changed (2)/sacred,0.28,0.29,6.4,6.45,,,,,7.556666666666667,8.0,0.19296875,0.2275449101796407,4.94921875,5.482784431137724
gather,diva_v2,diva_bounded_sigmoid_qmix_DIVA_scale1_capacity64_gate2,4,diva_v2,6,RUNNING,2026-05-01T09:46:34.999525,1000529,diva_v2-seed4,results diva changed (2)/sacred/6,results diva changed (2)/sacred,0.22,0.26666666666666666,6.1,6.333333333333333,,,,,7.78,8.0,0.20390625,0.22475322703113135,5.109375,5.459418070444104
gather,diva_v2,diva_bounded_sigmoid_qmix_DIVA_scale1_capacity64_gate2,5,diva_v2,5,RUNNING,2026-05-01T09:46:34.977430,1000523,diva_v2-seed5,results diva changed (2)/sacred/5,results diva changed (2)/sacred,0.19,0.31,5.95,6.55,,,,,7.81,8.0,0.20562939796716184,0.23233082706766917,5.191555903049257,5.511278195488722
gather,diva_v2,diva_bounded_sigmoid_qmix_DIVA_scale1_capacity64_gate2,8,diva_v2,4,RUNNING,2026-05-01T09:46:34.971237,1000481,diva_v2-seed8,results diva changed (2)/sacred/4,results diva changed (2)/sacred,0.20666666666666667,0.2733333333333333,6.033333333333333,6.3,,,,,7.8133333333333335,8.0,0.216006216006216,0.23036649214659685,5.303030303030303,5.613313388182498
gather,qmix,qmix,4,baseline_new,8,RUNNING,2026-05-02T18:36:35.043937,950520,qmix-seed4-baseline_new-run8,results/sacred/8,results/sacred,0.66,0.7366666666666667,8.3,8.683333333333334,,,,,7.1066666666666665,8.0,0.48218181818181816,0.4857351865398683,5.912727272727273,5.964912280701754
gather,qmix,qmix,4,diva_v1,37,RUNNING,2026-04-30T04:43:48.211370,130013,qmix-seed4-diva_v1-run37,results_DIVA softplus/sacred/37,results_DIVA softplus/sacred,0.0,0.0,0.0,0.0,,,,,8.0,8.0,0.0008,0.0008,0.004,0.004
gather,qmix,qmix,8,baseline_new,7,RUNNING,2026-05-02T18:36:35.043833,890469,qmix-seed8-baseline_new-run7,results/sacred/7,results/sacred,0.6933333333333334,0.74,8.466666666666667,8.7,,,,,7.02,8.0,0.4642857142857143,0.47149122807017546,5.652332361516035,5.698099415204679
gather,qmix,qmix,8,diva_v1,38,RUNNING,2026-04-30T04:43:48.280929,150013,qmix-seed8-diva_v1-run38,results_DIVA softplus/sacred/38,results_DIVA softplus/sacred,0.0,0.0,0.0,0.03333333333333333,,,,,8.0,8.0,0.0007993605115907274,0.0007993605115907274,0.007993605115907274,0.007993605115907274
gather,vdn,vdn,4,baseline_new,4,RUNNING,2026-05-02T18:36:34.943070,920468,vdn-seed4,results/sacred/4,results/sacred,0.30333333333333334,0.36333333333333334,6.516666666666667,6.816666666666666,,,,,7.986666666666666,8.0,0.24800637958532695,0.3060747663551402,4.968102073365231,5.682527301092044
gather,vdn,vdn,8,baseline_new,5,RUNNING,2026-05-02T18:36:35.032528,910455,vdn-seed8,results/sacred/5,results/sacred,0.24,0.2733333333333333,6.2,6.366666666666666,,,,,7.993333333333333,8.0,0.16203335980937253,0.2161144578313253,4.451945988880063,5.322204968944099
