env,algorithm,raw_algorithm,seed,source_group,run_id,status,start_time,latest_step,tb_name,run_dir,sacred_root,test_battle_won_mean_last,test_battle_won_mean_best,test_return_mean_last,test_return_mean_best,test_win_group_mean_last,test_win_group_mean_best,test_match_mean_last,test_match_mean_best,test_ep_length_mean_last,test_ep_length_mean_best,battle_won_mean_last,battle_won_mean_best,return_mean_last,return_mean_best
hallway,diva_v1,diva_bounded_sigmoid_qmix_DIVA,1,diva_v1,15,RUNNING,2026-04-21T12:05:59.564409,1000954,diva_v1-seed1,results_DIVA softplus/sacred/15,results_DIVA softplus/sacred,1.0,1.0,5.0,5.0,5.0,5.0,,,9.0,14.0,0.2129032258064516,0.23461538461538461,3.6851612903225806,3.7525641025641026
hallway,diva_v1,diva_bounded_sigmoid_qmix_DIVA,2,diva_v1,16,RUNNING,2026-04-21T12:05:59.683235,1001043,diva_v1-seed2,results_DIVA softplus/sacred/16,results_DIVA softplus/sacred,0.0,0.0,3.0,3.0,3.0,3.0,,,14.0,14.0,0.0,0.0,2.2965034965034965,2.3692307692307693
hallway,diva_v1,diva_bounded_sigmoid_qmix_DIVA,3,diva_v1,10,RUNNING,2026-04-21T12:05:58.583692,1001104,diva_v1-seed3,results_DIVA softplus/sacred/10,results_DIVA softplus/sacred,0.0033333333333333335,0.006666666666666667,3.2,3.2866666666666666,3.2066666666666666,3.296666666666667,,,13.973333333333333,14.0,0.0,0.002785515320334262,2.458100558659218,2.5125
hallway,diva_v1,diva_bounded_sigmoid_qmix_DIVA,4,diva_v1,11,RUNNING,2026-04-21T12:05:58.852598,1000988,diva_v1-seed4,results_DIVA softplus/sacred/11,results_DIVA softplus/sacred,0.0,0.0,1.5533333333333332,1.6233333333333333,1.65,1.69,,,14.0,14.0,0.0,0.0,1.2281045751633988,1.3047619047619048
hallway,diva_v1,diva_bounded_sigmoid_qmix_DIVA,5,diva_v1,9,RUNNING,2026-04-21T12:05:58.514754,1001068,diva_v1-seed5,results_DIVA softplus/sacred/9,results_DIVA softplus/sacred,0.0,0.016666666666666666,3.64,3.7,3.64,3.7,,,14.0,14.0,0.0,0.006906077348066298,2.637762237762238,2.712691771269177
hallway,diva_v1,diva_bounded_sigmoid_qmix_DIVA,6,diva_v1,12,RUNNING,2026-04-21T12:05:59.027343,1001033,diva_v1-seed6,results_DIVA softplus/sacred/12,results_DIVA softplus/sacred,0.0,0.0,2.01,2.1433333333333335,2.0166666666666666,2.1533333333333333,,,14.0,14.0,0.0,0.0,1.568733153638814,1.6433378196500672
hallway,diva_v1,diva_bounded_sigmoid_qmix_DIVA,7,diva_v1,14,RUNNING,2026-04-21T12:05:59.561995,1001072,diva_v1-seed7,results_DIVA softplus/sacred/14,results_DIVA softplus/sacred,0.0,0.0,2.6033333333333335,2.67,2.6033333333333335,2.67,,,14.0,14.0,0.0,0.0,2.0194444444444444,2.0475524475524476
hallway,diva_v1,diva_bounded_sigmoid_qmix_DIVA,8,diva_v1,13,RUNNING,2026-04-21T12:05:59.371642,1001043,diva_v1-seed8,results_DIVA softplus/sacred/13,results_DIVA softplus/sacred,0.0,0.0,3.0,3.0,3.0,3.0,,,14.0,14.0,0.0,0.0,2.3626220362622035,2.4337517433751743
hallway,diva_v2,diva_bounded_sigmoid_qmix_DIVA_scale1_capacity64_gate2,1,diva_v2,7,RUNNING,2026-05-01T09:46:35.015630,1000998,diva_v2-seed1,results diva changed (2)/sacred/7,results diva changed (2)/sacred,0.0,0.0,1.83,1.855,1.8333333333333333,1.9033333333333333,,,14.0,14.0,0.0,0.0,1.37109375,1.4415584415584415
hallway,diva_v2,diva_bounded_sigmoid_qmix_DIVA_scale1_capacity64_gate2,2,diva_v2,2,RUNNING,2026-05-01T09:46:34.892853,1001020,diva_v2-seed2,results diva changed (2)/sacred/2,results diva changed (2)/sacred,0.0,0.0,1.1133333333333333,1.2466666666666666,1.1633333333333333,1.28,,,13.41,14.0,0.0,0.0,0.9363295880149812,0.9800266311584553
hallway,diva_v2,diva_bounded_sigmoid_qmix_DIVA_scale1_capacity64_gate2,3,diva_v2,1,RUNNING,2026-05-01T09:46:34.776919,1001008,diva_v2-seed3,results diva changed (2)/sacred/1,results diva changed (2)/sacred,0.0,0.0,0.7833333333333333,1.0733333333333333,0.9033333333333333,1.1066666666666667,,,11.87,14.0,0.0,0.0,0.7545748116254036,0.8393617021276596
hallway,diva_v2,diva_bounded_sigmoid_qmix_DIVA_scale1_capacity64_gate2,5,diva_v2,3,RUNNING,2026-05-01T09:46:34.898912,1000959,diva_v2-seed5,results diva changed (2)/sacred/3,results diva changed (2)/sacred,0.0,0.0,2.09,2.1766666666666667,2.09,2.1766666666666667,,,14.0,14.0,0.0,0.0,1.5991902834008098,1.7472677595628416
hallway,diva_v2,diva_bounded_sigmoid_qmix_DIVA_scale1_capacity64_gate2,7,diva_v2,12,RUNNING,2026-05-01T20:40:04.965194,1001070,diva_v2-seed7,results diva changed (2)/sacred/12,results diva changed (2)/sacred,0.0,0.0,0.765,0.8166666666666667,0.8633333333333333,0.8933333333333333,,,14.0,14.0,0.0,0.0,0.6430332922318126,0.7236363636363636
hallway,diva_v2,diva_bounded_sigmoid_qmix_DIVA_scale1_capacity64_gate2,8,diva_v2,14,RUNNING,2026-05-01T20:59:25.611355,1000980,diva_v2-seed8,results diva changed (2)/sacred/14,results diva changed (2)/sacred,0.0,0.0,0.9833333333333333,1.0633333333333332,1.0533333333333332,1.1366666666666667,,,13.786666666666667,14.0,0.0,0.0,0.8118686868686869,0.9059945504087193
hallway,qmix,qmix,1,baseline_old,14,RUNNING,2026-04-30T16:39:19.453988,1001058,qmix-seed1,results_basleines/sacred/14,results_basleines/sacred,0.0,0.0,0.24666666666666667,1.77,1.2533333333333334,1.77,,,14.0,14.0,0.0,0.001394700139470014,0.8661087866108786,1.0231292517006803
hallway,qmix,qmix,3,baseline_old,10,RUNNING,2026-04-30T16:39:19.281027,1000965,qmix-seed3,results_basleines/sacred/10,results_basleines/sacred,0.42333333333333334,0.5066666666666667,4.423333333333333,4.506666666666667,4.423333333333333,4.506666666666667,,,12.306666666666667,14.0,0.11366711772665765,0.14323962516733602,3.4005412719891748,3.4756756756756757
hallway,qmix,qmix,8,baseline_old,16,RUNNING,2026-04-30T16:39:19.462977,1000953,qmix-seed8,results_basleines/sacred/16,results_basleines/sacred,0.02,0.043333333333333335,3.29,3.3533333333333335,3.3066666666666666,3.3533333333333335,,,13.86,14.0,0.001392757660167131,0.008310249307479225,2.5779944289693595,2.6861924686192467
hallway,qtran,qtran,1,baseline_old,23,RUNNING,2026-04-30T23:44:36.470513,1001186,qtran-seed1,results_basleines/sacred/23,results_basleines/sacred,0.0,0.0,3.0,3.0,3.0,3.0,,,14.0,14.0,0.0,0.0,2.344055944055944,2.441958041958042
hallway,qtran,qtran,3,baseline_old,22,RUNNING,2026-04-30T23:44:36.400803,1001096,qtran-seed3,results_basleines/sacred/22,results_basleines/sacred,0.0,0.013333333333333334,3.39,3.506666666666667,3.39,3.506666666666667,,,14.0,14.0,0.0,0.004195804195804196,2.6125874125874127,2.725874125874126
hallway,qtran,qtran,5,baseline_old,18,RUNNING,2026-04-30T23:44:36.212580,1001042,qtran-seed5,results_basleines/sacred/18,results_basleines/sacred,0.0,0.0,3.283333333333333,3.4233333333333333,3.283333333333333,3.4233333333333333,,,14.0,14.0,0.0,0.0013986013986013986,2.6307692307692307,2.6307692307692307
hallway,qtran,qtran,8,baseline_old,21,RUNNING,2026-04-30T23:44:36.395712,1001179,qtran-seed8,results_basleines/sacred/21,results_basleines/sacred,0.0,0.0033333333333333335,3.0433333333333334,4.0,3.0433333333333334,4.0,,,14.0,14.0,0.0,0.0013986013986013986,2.3454545454545452,2.476923076923077
hallway,vdn,vdn,1,baseline_old,11,RUNNING,2026-04-30T16:39:19.375807,1001020,vdn-seed1,results_basleines/sacred/11,results_basleines/sacred,0.0,0.006666666666666667,3.56,3.6666666666666665,3.56,3.6666666666666665,,,14.0,14.0,0.0,0.004178272980501393,2.904895104895105,2.9609483960948397
hallway,vdn,vdn,3,baseline_old,12,RUNNING,2026-04-30T16:39:19.382930,1001065,vdn-seed3,results_basleines/sacred/12,results_basleines/sacred,1.0,1.0,5.0,5.0,5.0,5.0,,,10.0,14.0,0.25097529258777634,0.2558441558441558,3.8439531859557867,3.8439531859557867
hallway,vdn,vdn,5,baseline_old,15,RUNNING,2026-04-30T16:39:19.461488,1001122,vdn-seed5,results_basleines/sacred/15,results_basleines/sacred,0.5,0.5,4.423333333333333,4.423333333333333,4.423333333333333,4.423333333333333,,,11.0,14.0,0.10133333333333333,0.10133333333333333,3.2,3.2
hallway,vdn,vdn,8,baseline_old,13,RUNNING,2026-04-30T16:39:19.450038,1001023,vdn-seed8,results_basleines/sacred/13,results_basleines/sacred,0.0,0.0,2.61,2.68,2.61,2.68,,,14.0,14.0,0.0,0.0,2.168523676880223,2.2186629526462394
